,Year,Urban Population,Vehicles in Service,Vehicles Available,Vehicle Revenue Miles,Vehicle Revenue Hours,Unlinked Passenger Trips,Passenger Miles
7,2013,18351295,20819,23122,917256851,57384099,4270003313,22721536628
8,2014,18351295,20945,23231,932104618,58525128,4358276863,23367608382
9,2015,18351295,21206,23336,938795977,59346642,4265916982,22139855400
10,2016,18351295,21186,23343,902175464,58008851,4221382548,21961198633
11,2017,18351295,21166,23350,865554951,56671061,4176848114,21782541866
12,2017,,,,,,2000000000,
13,2016,,,,,,2000000000,
14,2015,,,,,,2000000000,
15,2014,,,,,,2000000000,
16,2013,,,,,,2000000000,