"Category","Number of deaths","Rate Per 100,000 population"
1913,4200,4.4
1914,4700,4.8
1915,6600,6.6
1916,8200,8.1
1917,10200,10
1918,10700,10.3
1919,11200,10.7
1920,12500,11.7
1921,13900,12.9
1922,15300,13.9
1923,18400,16.5
1924,19400,17.1
1925,21900,19.1
1926,23400,20.1
1927,25800,21.8
1928,28000,23.4
1929,31200,25.7
1930,32900,26.7
1931,33700,27.2
1932,29500,23.6
1933,31363,25
1934,36101,28.6
1935,36369,28.6
1936,38089,29.7
1937,39643,30.8
1938,32582,25.1
1939,32386,24.7
1940,34501,26.1
1941,39969,30
1942,28309,21.1
1943,23823,17.8
1944,24282,18.3
1945,28076,21.2
1946,33411,23.9
1947,32697,22.8
1948,32259,22.1
1949,31701,21.3
1950,34763,23
1951,36996,24.1
1952,37794,24.3
1953,37956,24
1954,35586,22.1
1955,38426,23.4
1956,39628,23.7
1957,38702,22.7
1958,36981,21.3
1959,37910,21.5
1960,38137,21.2
1961,38091,20.8
1962,40804,22
1963,43564,23.1
1964,47700,25
1965,49163,25.4
1966,53041,27.1
1967,52924,26.8
1968,54862,27.5
1969,55791,27.7
1970,54633,26.8
1971,54381,26.3
1972,56278,26.9
1973,55511,26.3
1974,46402,21.8
1975,45853,21.3
1976,47038,21.6
1977,49510,22.5
1978,52411,23.6
1979,53524,23.8
1980,53172,23.4
1981,51385,22.4
1982,45779,19.8
1983,44452,19
1984,46263,19.6
1985,45901,19.3
1986,47865,19.9
1987,48290,19.9
1988,49078,20.1
1989,47575,19.3
1990,46814,18.8
1991,43536,17.3
1992,40982,16.1
1993,41893,16.3
1994,42524,16.3
1995,43363,16.5
1996,43649,16.5
1997,43458,16.2
1998,43501,16.1
1999,42401,15.5
2000,43354,15.8
2001,43788,15.4
2002,45380,15.8
2003,44757,15.4
2004,44933,15.3
2005,45343,15.3
2006,45316,15.2
2007,43945,14.6
2008,39790,13.1
2009,36216,11.8
2010,35332,11.4
2011,35303,11.3
2012,36415,11.6
2013,35369,11.2
2014,35398,11.1
2015,37757,11.8
2016,40327,12.48
2017,40231,12.4